Best_overall,Overall_rating,Potential,Age,Value
75,74,86,20,10000000.0
72,70,85,19,3800000.0
76,74,83,22,9000000.0
81,79,85,22,28500000.0
82,80,85,24,31500000.0
78,78,82,24,18500000.0
78,76,86,20,16500000.0
76,75,85,21,12500000.0
68,67,85,20,2700000.0
76,75,83,20,12500000.0
82,82,82,35,13000000.0
86,86,86,29,68000000.0
82,82,82,28,30500000.0
85,85,85,29,53000000.0
77,77,78,26,12500000.0
82,81,86,25,34500000.0
83,81,87,23,37000000.0
84,82,87,24,46000000.0
82,79,82,25,23000000.0
82,81,85,23,34500000.0
80,77,86,22,23500000.0
87,87,87,32,63000000.0
84,83,83,31,30500000.0
86,86,86,30,55500000.0
80,80,81,26,22500000.0
84,83,86,25,47500000.0
86,84,87,26,55000000.0
79,77,80,24,14500000.0
80,78,82,24,20500000.0
86,84,89,24,57500000.0
82,80,84,24,30000000.0
76,74,81,21,8500000.0
73,71,82,20,3800000.0
69,67,84,20,2500000.0
75,74,84,20,8500000.0
66,62,83,17,1200000.0
66,64,83,17,1500000.0
78,78,78,26,15500000.0
90,90,90,30,115500000.0
84,82,82,28,27500000.0
83,83,83,28,36500000.0
89,89,90,27,105500000.0
79,79,80,26,20500000.0
87,87,90,26,80000000.0
82,80,82,26,26000000.0
80,79,83,24,23000000.0
82,80,85,25,31500000.0
90,88,91,25,107500000.0
74,74,84,22,9000000.0
78,76,84,21,17000000.0
76,76,86,21,16000000.0
74,72,75,24,3200000.0
71,71,82,19,3900000.0
74,73,82,21,7000000.0
74,72,82,21,5000000.0
77,76,86,22,17000000.0
79,77,85,21,22500000.0
76,73,85,20,7500000.0
60,60,83,18,750000.0
88,88,88,32,72000000.0
85,85,85,31,44000000.0
79,79,79,29,15000000.0
89,89,91,29,85500000.0
75,75,75,38,625000.0
84,84,84,31,35000000.0
86,86,86,27,72500000.0
83,83,84,27,42500000.0
81,81,81,29,25500000.0
82,80,83,25,28500000.0
79,77,79,26,13000000.0
79,77,80,25,14000000.0
85,84,85,27,48000000.0
79,76,80,25,9500000.0
75,74,79,24,6000000.0
82,80,82,25,26500000.0
77,75,80,25,7500000.0
78,74,82,23,9000000.0
76,74,83,23,9000000.0
85,84,89,23,57500000.0
75,74,83,21,9000000.0
78,77,83,23,17000000.0
79,77,85,23,22000000.0
78,75,85,21,12500000.0
75,75,85,20,12000000.0
76,74,82,22,9000000.0
74,72,84,21,5500000.0
81,79,82,24,24500000.0
75,73,84,19,6500000.0
75,74,85,20,8500000.0
71,69,85,19,3600000.0
71,69,79,20,3100000.0
74,72,85,18,5500000.0
77,74,83,23,9500000.0
70,69,83,19,3100000.0
69,67,83,19,2500000.0
65,63,83,19,1300000.0
72,70,84,19,3500000.0
71,69,84,21,3200000.0
63,61,84,17,1000000.0
81,80,85,24,32000000.0
79,77,84,22,20000000.0
80,79,90,19,38000000.0
73,72,83,19,4800000.0
76,75,84,20,12000000.0
77,75,82,20,11000000.0
78,76,82,23,12000000.0
72,71,82,18,3700000.0
75,73,82,19,6500000.0
70,68,79,20,2500000.0
80,80,80,31,17500000.0
82,82,82,30,29500000.0
85,84,84,31,35000000.0
84,84,85,29,39000000.0
84,83,84,28,34500000.0
75,75,75,30,5500000.0
82,80,83,26,28000000.0
87,86,87,27,78500000.0
89,89,90,29,79000000.0
86,86,87,26,80000000.0
87,83,86,26,47000000.0
84,83,85,26,40500000.0
81,80,80,27,23000000.0
82,82,82,29,30000000.0
85,84,86,26,46000000.0
77,76,77,27,9000000.0
78,78,84,25,17500000.0
78,76,79,25,10000000.0
80,78,80,26,15500000.0
80,79,84,24,24500000.0
77,77,83,24,13500000.0
84,81,83,26,28500000.0
79,78,83,23,21000000.0
82,82,83,25,36500000.0
75,73,82,22,7000000.0
78,77,84,21,20000000.0
73,71,81,20,3800000.0
77,77,84,22,18500000.0
76,74,79,22,6000000.0
75,73,81,21,7000000.0
85,83,89,25,50500000.0
75,74,82,22,9000000.0
82,81,88,21,52500000.0
77,75,82,23,11500000.0
77,75,82,22,11500000.0
78,77,86,21,23500000.0
73,71,84,20,4500000.0
72,71,83,20,4500000.0
69,67,86,17,2500000.0
78,76,84,23,15500000.0
76,74,84,19,9000000.0
63,60,82,17,775000.0
66,64,81,16,1500000.0
64,63,83,18,1300000.0
73,72,84,20,5500000.0
69,68,85,19,3100000.0
88,88,88,36,29000000.0
79,79,79,34,8500000.0
78,78,78,28,14000000.0
79,79,80,27,18500000.0
84,84,84,28,42000000.0
83,82,84,26,38000000.0
75,75,76,26,6500000.0
81,79,84,25,25500000.0
79,78,80,26,16000000.0
72,70,74,24,2300000.0
80,80,83,25,25500000.0
84,82,84,26,38000000.0
86,83,86,25,48000000.0
75,73,80,22,6000000.0
84,81,84,25,34500000.0
78,77,83,24,16500000.0
78,77,82,24,15000000.0
78,76,81,24,11500000.0
81,80,83,25,25000000.0
83,81,88,23,48000000.0
82,82,85,26,30500000.0
86,86,87,27,68500000.0
86,83,88,24,49500000.0
79,79,82,25,18000000.0
82,82,86,24,34500000.0
81,79,84,24,26500000.0
82,80,84,25,29000000.0
77,74,80,24,6500000.0
78,75,83,22,12000000.0
81,80,86,22,31000000.0
73,71,78,22,3800000.0
79,77,82,22,14500000.0
78,76,83,22,14000000.0
85,84,87,25,56000000.0
75,74,78,24,6000000.0
76,75,84,21,12500000.0
72,71,82,21,4000000.0
73,72,82,21,5000000.0
75,75,84,21,12000000.0
70,68,83,20,2700000.0
67,67,79,20,2300000.0
79,77,85,24,22000000.0
78,78,82,23,18500000.0
70,70,81,21,3400000.0
67,65,80,18,1600000.0
78,76,86,21,17000000.0
65,64,82,19,1500000.0
67,66,82,19,2200000.0
67,65,82,19,1800000.0
73,71,85,20,4500000.0
79,78,78,36,4400000.0
72,72,72,33,1500000.0
84,84,84,35,18000000.0
83,83,83,32,28500000.0
83,83,83,30,34500000.0
78,78,78,30,12000000.0
84,84,84,30,34500000.0
81,81,81,30,17000000.0
81,81,82,27,29500000.0
84,84,84,27,45000000.0
82,82,83,27,32000000.0
81,81,81,28,25500000.0
81,80,81,27,21000000.0
80,80,81,27,22000000.0
77,75,83,24,11500000.0
82,81,85,25,33000000.0
81,79,85,24,28000000.0
83,80,86,23,33000000.0
78,76,80,25,9500000.0
74,74,80,24,6000000.0
76,74,79,23,6500000.0
76,72,77,22,3600000.0
75,75,81,22,8500000.0
77,75,83,21,12500000.0
77,76,83,22,15000000.0
84,81,86,24,39000000.0
77,74,82,22,9500000.0
72,71,81,21,4200000.0
78,76,82,24,12000000.0
76,76,82,23,11000000.0
74,72,81,22,5000000.0
67,67,83,20,2400000.0
74,74,83,21,9000000.0
70,68,84,18,3100000.0
71,71,82,21,4000000.0
69,67,84,19,2600000.0
76,74,81,24,8500000.0
74,72,83,20,4800000.0
66,64,79,20,1300000.0
73,73,82,22,6000000.0
76,73,84,22,7000000.0
65,61,65,25,400000.0
68,66,83,18,2200000.0
71,69,81,22,3400000.0
67,66,78,19,1900000.0
79,77,77,39,3600000.0
82,81,81,32,20500000.0
85,85,85,32,37500000.0
91,91,91,33,84000000.0
86,86,86,31,55500000.0
80,80,80,32,16500000.0
81,80,81,28,20000000.0
80,80,80,29,20500000.0
79,79,79,28,18000000.0
85,85,85,30,51500000.0
85,85,85,35,23000000.0
78,76,78,25,9500000.0
82,81,83,25,32500000.0
84,82,84,25,38000000.0
83,80,82,26,23000000.0
86,85,89,25,76000000.0
79,77,82,24,14500000.0
85,84,86,25,47500000.0
78,78,83,25,19000000.0
77,75,81,24,8000000.0
87,87,89,26,88500000.0
77,76,83,23,15000000.0
72,71,82,19,4000000.0
78,76,82,20,12000000.0
69,67,85,19,2600000.0
78,75,85,20,12500000.0
77,75,84,22,12000000.0
65,63,84,17,1500000.0
76,73,81,23,7000000.0
79,77,87,22,23500000.0
76,75,84,22,12000000.0
64,62,82,19,1100000.0
73,71,80,22,3900000.0
72,71,79,20,4100000.0
72,70,82,21,3700000.0
72,70,81,21,3600000.0
70,68,80,19,2900000.0
73,72,85,20,5500000.0
72,70,84,20,3700000.0
67,66,86,19,2400000.0
64,62,80,17,925000.0
66,64,83,18,1500000.0
68,66,86,16,2300000.0
57,56,79,16,450000.0
77,77,77,27,10000000.0
76,75,82,22,11500000.0
84,84,84,33,26500000.0
88,88,88,35,10000000.0
81,81,81,31,22000000.0
87,87,88,28,77000000.0
82,82,82,27,32500000.0
78,78,78,29,14000000.0
64,65,76,18,775000.0
82,81,82,27,30000000.0
87,87,87,28,72000000.0
81,81,81,27,27500000.0
84,82,86,24,40000000.0
82,81,85,26,32000000.0
78,76,81,23,10000000.0
81,79,83,24,23500000.0
85,83,85,26,44500000.0
76,74,77,26,5500000.0
77,77,80,25,13000000.0
83,83,86,25,37000000.0
83,81,85,24,37000000.0
78,77,80,25,14000000.0
81,80,85,26,28000000.0
77,76,76,27,8000000.0
77,76,80,23,10000000.0
83,81,86,25,34000000.0
79,78,82,25,18000000.0
76,73,80,22,6000000.0
76,75,81,23,9000000.0
70,70,71,26,1700000.0
77,76,81,23,10500000.0
73,71,80,21,4200000.0
76,76,84,22,16000000.0
76,76,76,30,7000000.0
75,75,84,23,11000000.0
74,73,83,21,7000000.0
77,73,81,22,7000000.0
71,70,77,21,3200000.0
84,84,84,34,20000000.0
91,91,91,34,64000000.0
80,79,79,33,9000000.0
76,76,76,34,3500000.0
81,79,83,26,21500000.0
71,68,77,22,2700000.0
81,79,82,26,20500000.0
80,79,83,22,24000000.0
74,72,75,25,3100000.0
75,74,77,24,6000000.0
79,78,85,22,28500000.0
80,78,85,23,28000000.0
79,76,82,24,12000000.0
81,78,79,25,16500000.0
80,80,83,27,20500000.0
77,75,80,24,8500000.0
74,74,82,22,9000000.0
72,72,82,21,5000000.0
74,72,79,22,4800000.0
79,77,83,25,14500000.0
80,79,84,23,24500000.0
71,70,82,20,3700000.0
82,78,86,22,32000000.0
76,75,83,22,12000000.0
81,79,83,23,22500000.0
72,72,81,22,5000000.0
71,69,82,20,3200000.0
67,65,82,18,1700000.0
76,74,77,25,5500000.0
73,71,84,19,4400000.0
68,67,84,19,2600000.0
71,69,80,19,3000000.0
68,66,79,19,2000000.0
67,64,84,19,1600000.0
70,70,81,20,3300000.0
67,65,78,20,1700000.0
66,64,81,18,1500000.0
62,62,84,17,1200000.0
77,77,83,21,14000000.0
65,64,84,17,1600000.0
67,66,80,20,2100000.0
70,70,85,18,3500000.0
70,68,82,18,2600000.0
64,62,82,18,1100000.0
77,76,76,34,3500000.0
84,84,84,37,4700000.0
75,75,75,34,2700000.0
82,82,82,34,14000000.0
81,81,81,35,7000000.0
78,78,78,33,9000000.0
77,77,77,31,9000000.0
71,71,71,30,1800000.0
79,78,78,29,13500000.0
85,85,85,28,55000000.0
85,85,85,26,59000000.0
80,80,80,28,18500000.0
77,77,77,30,9000000.0
72,72,72,30,2000000.0
71,69,69,28,1400000.0
80,77,80,26,14000000.0
85,83,85,27,38500000.0
71,71,72,26,1600000.0
77,77,77,29,10500000.0
80,78,82,25,20000000.0
80,79,79,27,18500000.0
79,76,79,25,9000000.0
79,78,79,26,16500000.0
82,81,83,26,28500000.0
74,74,75,26,5000000.0
80,80,83,24,26500000.0
76,74,80,25,6000000.0
61,59,78,19,575000.0
73,71,83,20,4200000.0
70,68,84,19,3100000.0
67,65,81,18,1700000.0
65,63,73,20,1100000.0
71,69,78,23,3100000.0
66,65,79,19,1700000.0
65,65,82,17,1700000.0
60,60,80,17,650000.0
69,69,79,21,3000000.0
77,76,81,24,10500000.0
71,69,75,22,2300000.0
78,75,84,22,12500000.0
78,76,85,23,16500000.0
73,72,80,23,5000000.0
78,76,80,24,11000000.0
68,66,75,22,1900000.0
76,76,83,22,14500000.0
78,76,85,21,17000000.0
74,72,78,24,3700000.0
73,72,81,21,5000000.0
71,71,80,22,4000000.0
74,73,78,21,4400000.0
72,70,78,22,3300000.0
79,78,86,22,31500000.0
78,76,83,24,15000000.0
75,75,81,23,8500000.0
64,63,68,24,675000.0
73,71,79,22,4200000.0
72,72,80,23,5000000.0
68,66,77,20,1900000.0
77,75,82,21,10500000.0
75,73,82,21,7000000.0
71,69,83,19,3300000.0
67,67,80,20,2300000.0
70,68,75,21,2300000.0
75,74,82,20,8500000.0
67,65,79,18,1700000.0
75,72,82,20,5000000.0
74,73,83,19,6500000.0
65,65,78,20,1500000.0
69,67,79,20,2300000.0
65,63,78,19,1100000.0
65,63,77,19,1100000.0
73,71,82,22,4200000.0
71,70,82,21,3900000.0
65,63,83,18,1300000.0
61,59,71,20,550000.0
63,61,82,18,1000000.0
61,58,81,18,625000.0
72,72,80,20,5000000.0
65,63,79,20,1300000.0
69,67,82,19,2400000.0
76,72,84,21,6000000.0
67,65,84,19,1800000.0
67,65,78,19,1600000.0
65,63,82,18,1100000.0
83,82,82,29,29500000.0
79,79,79,31,12500000.0
72,72,72,28,2400000.0
79,79,79,27,18500000.0
77,77,77,28,11000000.0
81,80,82,27,23000000.0
78,76,77,27,9000000.0
78,77,77,28,11000000.0
89,89,89,31,72000000.0
71,69,72,25,1800000.0
82,82,82,31,25500000.0
79,78,79,28,13500000.0
83,83,83,29,30500000.0
80,80,80,30,18000000.0
78,76,79,24,10000000.0
80,79,80,26,18000000.0
83,79,82,26,23000000.0
80,78,81,24,19000000.0
83,82,85,25,41000000.0
72,71,75,24,2400000.0
77,75,79,25,7000000.0
83,80,85,24,32000000.0
77,75,76,27,6500000.0
74,74,74,27,4500000.0
83,81,83,26,28000000.0
80,78,80,25,15500000.0
77,75,80,23,8500000.0
71,70,78,23,3500000.0
71,70,78,22,3600000.0
73,71,73,24,2400000.0
76,76,79,25,9000000.0
81,80,83,24,29000000.0
74,73,80,21,6000000.0
82,81,84,25,34000000.0
75,73,80,23,6000000.0
75,75,83,22,12000000.0
78,80,80,35,6000000.0
76,76,76,37,2400000.0
74,74,74,36,1400000.0
83,83,83,35,4000000.0
90,90,90,36,13500000.0
87,87,87,35,9000000.0
83,83,83,36,12000000.0
70,70,70,34,775000.0
75,75,75,28,5000000.0
72,71,77,22,3000000.0
66,66,81,18,1700000.0
70,70,82,20,3700000.0
70,68,79,21,2700000.0
75,73,83,21,7000000.0
74,72,79,19,4600000.0
75,75,78,24,7000000.0
72,69,78,21,3200000.0
74,73,82,20,6500000.0
71,69,80,21,2900000.0
71,69,80,20,3100000.0
70,68,81,18,2800000.0
71,70,81,19,3300000.0
71,69,79,21,3200000.0
66,66,81,20,2000000.0
71,69,76,23,2600000.0
73,73,83,19,6500000.0
65,62,76,19,950000.0
67,64,78,20,1400000.0
61,59,80,17,700000.0
65,65,80,18,1600000.0
68,66,83,19,2200000.0
68,66,82,18,2200000.0
67,67,82,19,2300000.0
78,74,78,25,6000000.0
61,59,79,19,625000.0
74,72,82,23,4900000.0
71,69,80,18,2800000.0
62,60,83,17,725000.0
76,74,80,24,6000000.0
66,64,80,18,1500000.0
57,55,80,17,375000.0
68,66,84,18,2200000.0
60,60,81,18,700000.0
66,65,80,17,1600000.0
74,74,77,24,5500000.0
74,72,77,23,3200000.0
82,82,85,25,37000000.0
80,79,81,25,20000000.0
79,77,82,25,15500000.0
73,73,78,24,4300000.0
77,77,80,28,9500000.0
78,75,84,23,12500000.0
64,62,71,24,825000.0
79,76,81,24,11500000.0
73,71,76,23,2800000.0
86,86,87,30,51000000.0
79,79,82,24,24000000.0
79,77,81,24,15000000.0
73,73,80,22,5500000.0
75,74,81,23,8500000.0
78,76,84,24,15500000.0
77,75,81,21,9000000.0
72,71,80,23,4200000.0
63,61,76,21,750000.0
79,77,83,23,17000000.0
77,76,80,24,11000000.0
80,78,82,23,20000000.0
77,75,81,23,8000000.0
76,75,81,22,9000000.0
71,69,81,21,3200000.0
76,76,83,23,14500000.0
74,73,81,23,6500000.0
76,75,80,23,8000000.0
75,73,79,22,4900000.0
68,66,80,20,2100000.0
72,72,81,23,4500000.0
64,63,72,22,1000000.0
75,72,77,24,3500000.0
70,69,81,20,3400000.0
81,81,81,39,4600000.0
86,86,86,37,12000000.0
73,72,72,31,1700000.0
79,79,79,30,17000000.0
79,79,79,33,11000000.0
76,75,75,34,2600000.0
82,82,82,33,19500000.0
88,88,89,30,68500000.0
72,72,72,27,2500000.0
81,80,80,28,21500000.0
73,73,73,29,2100000.0
74,74,74,29,3500000.0
80,78,80,27,15000000.0
75,75,75,27,6000000.0
80,80,81,29,16000000.0
75,75,75,32,4600000.0
77,77,78,25,12500000.0
80,78,81,26,18500000.0
77,76,77,28,7000000.0
75,74,75,27,4900000.0
78,78,79,27,15000000.0
82,79,83,25,24500000.0
81,78,81,25,17000000.0
76,75,78,25,7000000.0
71,68,82,19,2900000.0
72,71,81,20,3900000.0
65,64,81,18,1400000.0
69,67,80,20,2500000.0
73,71,80,19,3800000.0
75,75,80,21,8000000.0
61,60,78,19,625000.0
66,66,78,21,2000000.0
66,66,75,19,1600000.0
69,68,82,19,2900000.0
62,60,69,22,550000.0
70,68,78,20,2600000.0
66,64,78,19,1400000.0
67,63,79,18,1200000.0
64,64,82,18,1400000.0
74,73,81,21,7000000.0
68,67,85,18,2600000.0
74,72,82,19,4700000.0
66,64,81,17,1500000.0
65,64,78,19,1400000.0
67,64,80,20,1500000.0
64,62,81,19,975000.0
58,58,68,19,425000.0
71,71,83,19,4300000.0
73,68,79,21,2700000.0
76,74,80,21,7000000.0
71,69,83,20,3300000.0
66,64,81,19,1500000.0
66,64,83,19,1500000.0
73,71,82,21,4200000.0
73,73,81,20,6500000.0
70,67,83,20,2700000.0
74,72,81,21,5500000.0
64,62,80,19,1000000.0
62,60,79,17,575000.0
68,64,83,17,1500000.0
68,66,80,19,2000000.0
69,67,76,21,2300000.0
61,59,67,22,500000.0
75,73,81,23,7000000.0
72,70,76,23,2300000.0
70,66,73,23,1700000.0
76,74,79,24,6500000.0
76,74,82,23,9500000.0
74,72,79,23,4700000.0
73,72,76,24,3400000.0
74,72,80,23,5000000.0
79,79,83,24,23500000.0
73,70,79,23,3600000.0
75,74,82,23,9000000.0
72,70,83,21,3900000.0
75,72,81,22,5000000.0
75,74,81,22,8000000.0
78,75,78,26,7000000.0
81,79,83,25,22000000.0
76,74,80,23,6000000.0
76,74,81,22,8500000.0
75,73,79,23,4400000.0
72,71,79,22,4000000.0
71,71,79,21,4000000.0
69,68,75,21,2300000.0
67,67,76,21,2200000.0
72,68,77,23,2700000.0
77,76,81,22,11500000.0
72,70,73,25,2100000.0
78,76,85,22,17000000.0
79,76,83,21,14000000.0
75,75,81,21,7500000.0
70,70,80,21,3400000.0
73,73,81,22,7000000.0
69,67,78,21,2300000.0
71,70,79,21,3400000.0
70,67,82,19,2400000.0
69,67,75,22,2100000.0
70,68,84,20,3000000.0
69,68,74,22,1800000.0
71,70,79,22,3600000.0
73,71,79,21,4200000.0
70,69,82,20,3400000.0
72,70,83,19,3800000.0
81,81,81,33,12500000.0
81,81,81,26,28000000.0
73,72,72,29,2300000.0
74,73,74,26,3600000.0
75,75,75,29,5500000.0
81,81,82,29,20000000.0
72,72,73,27,2400000.0
84,82,86,26,37500000.0
68,67,68,27,1200000.0
78,76,78,26,9500000.0
79,78,81,27,16000000.0
78,76,80,26,9000000.0
74,74,74,28,4300000.0
74,74,79,25,4900000.0
72,71,71,26,2000000.0
74,72,77,24,3500000.0
78,77,78,26,12500000.0
70,68,71,26,1600000.0
86,83,86,26,42000000.0
73,71,76,24,2800000.0
76,73,79,23,4800000.0
71,71,71,28,1700000.0
76,75,76,27,6500000.0
80,78,79,26,16500000.0
74,72,79,25,4300000.0
69,69,79,22,2700000.0
76,73,79,24,4500000.0
73,73,80,23,5000000.0
76,76,77,25,9000000.0
74,73,80,24,5500000.0
79,77,81,23,15000000.0
76,75,79,23,7500000.0
66,65,70,23,1100000.0
80,79,79,28,16000000.0
77,75,79,23,7000000.0
79,79,79,37,5500000.0
82,82,82,36,5500000.0
69,69,69,35,575000.0
76,76,76,36,2600000.0
68,67,67,30,1000000.0
75,75,75,31,4800000.0
84,84,84,29,41500000.0
81,81,81,32,16500000.0
81,80,80,32,13500000.0
87,87,87,31,42000000.0
77,76,76,31,6500000.0
83,81,81,29,25500000.0
78,78,78,32,9000000.0
79,79,79,32,14000000.0
82,80,82,27,22500000.0
76,76,76,32,5000000.0
79,77,80,27,12000000.0
62,61,79,18,800000.0
67,65,75,20,1600000.0
68,66,81,18,1900000.0
61,61,72,20,625000.0
62,60,82,17,775000.0
63,61,81,19,925000.0
69,67,79,19,2400000.0
59,59,79,17,600000.0
64,64,79,18,1300000.0
65,63,80,20,1200000.0
66,66,79,18,1900000.0
67,65,77,20,1700000.0
63,61,78,19,850000.0
72,70,79,20,3500000.0
67,67,81,21,2200000.0
72,70,81,19,3200000.0
66,66,82,18,2100000.0
68,66,82,20,2200000.0
69,66,80,19,2000000.0
70,70,77,22,3100000.0
69,65,77,19,1700000.0
59,58,78,19,575000.0
65,65,80,19,1600000.0
60,60,75,18,550000.0
61,59,78,18,575000.0
67,65,76,20,1500000.0
71,71,73,26,2100000.0
73,72,86,19,5500000.0
71,69,79,22,3100000.0
64,63,77,20,1200000.0
68,68,81,20,2800000.0
65,65,78,18,1600000.0
70,69,76,22,2700000.0
69,68,82,21,3000000.0
70,69,81,19,3300000.0
70,68,80,20,2900000.0
61,59,70,19,450000.0
66,64,73,22,1200000.0
70,69,80,21,3000000.0
59,57,77,19,425000.0
59,57,78,18,525000.0
68,68,81,21,2600000.0
61,61,76,17,725000.0
67,66,77,19,1800000.0
65,63,81,19,1300000.0
64,63,83,17,1300000.0
64,62,81,18,1000000.0
65,61,79,18,825000.0
67,65,76,21,1600000.0
66,65,81,17,1700000.0
68,64,80,18,1500000.0
65,63,78,20,1100000.0
64,60,80,18,675000.0
59,59,80,17,675000.0
66,65,81,20,1800000.0
66,65,78,18,1700000.0
61,59,79,17,575000.0
65,65,77,21,1500000.0
66,65,78,20,1700000.0
79,77,83,24,17000000.0
74,74,83,20,9500000.0
68,66,76,21,1900000.0
70,70,80,20,3300000.0
73,71,78,21,3800000.0
72,69,80,22,3100000.0
69,67,76,20,2200000.0
66,64,82,18,1500000.0
72,70,77,22,3300000.0
71,67,80,20,2300000.0
59,58,67,21,425000.0
67,65,80,21,1800000.0
72,70,80,21,3600000.0
71,68,82,20,2900000.0
80,79,83,26,22000000.0
